,Date,Open,High,Low,Close
1299,2025-10-20,8.6269,8.645,8.6269,8.645
1298,2025-10-17,8.645,8.65,8.6202,8.64
1297,2025-10-16,8.64,8.67,8.6228,8.6576
1296,2025-10-15,8.62,8.62,8.62,8.62
1295,2025-10-14,8.63,8.63,8.5624,8.61
1294,2025-10-13,8.61,8.62,8.53,8.5801
1293,2025-10-10,8.61,8.6299,8.5834,8.5888
1292,2025-10-09,8.59,8.62,8.5701,8.62
1291,2025-10-08,8.5916,8.64,8.5901,8.61
1290,2025-10-07,8.6,8.65,8.6,8.625
1289,2025-10-06,8.6048,8.62,8.6,8.615
1288,2025-10-03,8.5904,8.62,8.56,8.62
1287,2025-10-02,8.59,8.625,8.5823,8.625
1286,2025-10-01,8.58,8.62,8.58,8.605
1285,2025-09-30,8.6,8.6463,8.574,8.6
1284,2025-09-29,8.58,8.6,8.56,8.5909
1283,2025-09-26,8.57,8.63,8.55,8.58
1282,2025-09-25,8.57,8.61,8.549,8.6
1281,2025-09-24,8.6177,8.65,8.59,8.62
1280,2025-09-23,8.63,8.66,8.6,8.62
1279,2025-09-22,8.58,8.62,8.56,8.62
1278,2025-09-19,8.59,8.62,8.57,8.62
1277,2025-09-18,8.58,8.63,8.58,8.58
1276,2025-09-17,8.63,8.65,8.5999,8.5999
1275,2025-09-16,8.64,8.68,8.63,8.68
1274,2025-09-15,8.64,8.6735,8.6201,8.64
1273,2025-09-12,8.62,8.64,8.55,8.61
1272,2025-09-11,8.64,8.69,8.6001,8.6532
1271,2025-09-10,8.62,8.68,8.6154,8.6341
1270,2025-09-09,8.6495,8.6495,8.5976,8.5976
1269,2025-09-08,8.6239,8.6499,8.6004,8.625
1268,2025-09-05,8.6212,8.67,8.61,8.64
1267,2025-09-04,8.5666,8.62,8.5432,8.62
1266,2025-09-03,8.53,8.6,8.47,8.59
1265,2025-09-02,8.5,8.5295,8.5,8.525
1264,2025-08-29,8.53,8.59,8.51,8.54
1263,2025-08-28,8.53,8.56,8.53,8.5402
1262,2025-08-27,8.52,8.58,8.52,8.57
1261,2025-08-26,8.5203,8.57,8.5203,8.55
1260,2025-08-25,8.52,8.55,8.5126,8.525
1259,2025-08-22,8.53,8.5767,8.53,8.5456
1258,2025-08-21,8.5,8.5,8.4201,8.48
1257,2025-08-20,8.5214,8.5214,8.4646,8.51
1256,2025-08-19,8.49,8.52,8.4838,8.505
1255,2025-08-18,8.49,8.51,8.49,8.495
1254,2025-08-15,8.54,8.54,8.5041,8.5242
1253,2025-08-14,8.555,8.555,8.53,8.55
1252,2025-08-13,8.565,8.58,8.56,8.57
1251,2025-08-12,8.52,8.5385,8.48,8.51
1250,2025-08-11,8.54,8.55,8.49,8.54
1249,2025-08-08,8.53,8.57,8.5134,8.56
1248,2025-08-07,8.55,8.59,8.53,8.59
1247,2025-08-06,8.54,8.6,8.5203,8.6
1246,2025-08-05,8.54,8.55,8.524,8.54
1245,2025-08-04,8.53,8.61,8.53,8.565
1244,2025-08-01,8.52,8.6,8.49,8.545
1243,2025-07-31,8.505,8.53,8.49,8.5009
1242,2025-07-30,8.48,8.51,8.45,8.5
1241,2025-07-29,8.4632,8.52,8.4632,8.505
1240,2025-07-28,8.46,8.49,8.4401,8.465
1239,2025-07-25,8.31,8.53,8.31,8.475
1238,2025-07-24,8.49,8.529,8.4239,8.46
1237,2025-07-23,8.4967,8.51,8.4549,8.49
1236,2025-07-22,8.47,8.5069,8.47,8.4949
1235,2025-07-21,8.47,8.54,8.46,8.4748
1234,2025-07-18,8.431,8.46,8.4001,8.4546
1233,2025-07-17,8.41,8.47,8.395,8.4557
1232,2025-07-16,8.43,8.53,8.43,8.4978
1231,2025-07-15,8.46,8.48,8.43,8.4516
1230,2025-07-14,8.57,8.57,8.38,8.4647
1229,2025-07-11,8.46,8.49,8.4306,8.473
1228,2025-07-10,8.5,8.5299,8.48,8.5299
1227,2025-07-09,8.4509,8.5265,8.4509,8.49
1226,2025-07-08,8.4759,8.52,8.4442,8.4665
1225,2025-07-07,8.46,8.47,8.42,8.4533
1224,2025-07-03,8.475,8.4933,8.45,8.4933
1223,2025-07-02,8.493,8.51,8.4743,8.5078
1222,2025-07-01,8.52,8.54,8.515,8.5255
1221,2025-06-30,8.51,8.57,8.51,8.5274
1220,2025-06-27,8.51,8.58,8.49,8.4981
1219,2025-06-26,8.49,8.57,8.4828,8.505
1218,2025-06-25,8.46,8.48,8.44,8.46
1217,2025-06-24,8.494,8.52,8.441,8.48
1216,2025-06-23,8.45,8.461,8.4402,8.461
1215,2025-06-20,8.41,8.51,8.41,8.51
1214,2025-06-18,8.43,8.45,8.43,8.4305
1213,2025-06-17,8.41,8.48,8.41,8.47
1212,2025-06-16,8.42,8.5,8.42,8.48
1211,2025-06-13,8.42,8.44,8.4072,8.4072
1210,2025-06-12,8.49,8.49,8.41,8.4645
1209,2025-06-11,8.46,8.49,8.46,8.4661
1208,2025-06-10,8.445,8.46,8.43,8.46
1207,2025-06-09,8.53,8.53,8.41,8.445
1206,2025-06-06,8.4238,8.44,8.415,8.4278
1205,2025-06-05,8.49,8.49,8.43,8.47
1204,2025-06-04,8.4777,8.529,8.46,8.474
1203,2025-06-03,8.42,8.459,8.4105,8.4212
1202,2025-06-02,8.41,8.45,8.41,8.449
1201,2025-05-30,8.44,8.49,8.41,8.468
1200,2025-05-29,8.41,8.52,8.41,8.47
1199,2025-05-28,8.37,8.45,7.94,8.42
1198,2025-05-27,8.39,8.439,8.39,8.4144
1197,2025-05-23,8.37,8.469,8.37,8.4
1196,2025-05-22,8.345,8.43,8.32,8.395
1195,2025-05-21,8.3795,8.439,8.34,8.39
1194,2025-05-20,8.39,8.4,8.35,8.4
1193,2025-05-19,8.37,8.41,8.37,8.405
1192,2025-05-16,8.41,8.43,8.4032,8.415
1191,2025-05-15,8.39,8.45,8.38,8.38
1190,2025-05-14,8.39,8.41,8.39,8.3998
1189,2025-05-13,8.4,8.42,8.38,8.395
1188,2025-05-12,8.4,8.46,8.3809,8.4149
1187,2025-05-09,8.42,8.45,8.42,8.4399
1186,2025-05-08,8.43,8.45,8.39,8.41
1185,2025-05-07,8.44,8.47,8.4376,8.46
1184,2025-05-06,8.41,8.47,8.41,8.4497
1183,2025-05-05,8.41,8.46,8.3958,8.45
