,Date,Open,High,Low,Close
1060,2023-07-27,0.0015,0.0015,0.0009,0.0009
1059,2023-07-26,0.002,0.0021,0.002,0.0021
1058,2023-07-25,0.0038,0.0061,0.0004,0.0018
1057,2023-07-24,0.004,0.0061,0.0013,0.0061
1056,2023-07-21,0.006,0.006,0.006,0.006
1055,2023-07-20,0.0057,0.006,0.0057,0.006
1054,2023-07-19,0.0057,0.0057,0.0057,0.0057
1053,2023-07-18,0.006,0.006,0.0057,0.0057
1052,2023-07-17,0.006,0.006,0.006,0.006
1051,2023-07-14,0.0057,0.0057,0.0057,0.0057
1050,2023-07-13,0.0084,0.0084,0.0057,0.0057
1049,2023-07-12,0.01,0.0148,0.007,0.0148
1048,2023-07-11,0.0085,0.0085,0.008,0.0081
1047,2023-07-10,0.0057,0.0057,0.0057,0.0057
1046,2023-07-07,0.0057,0.0057,0.0057,0.0057
1045,2023-07-06,0.0057,0.0057,0.0057,0.0057
1044,2023-07-05,0.0057,0.0058,0.0057,0.0057
1043,2023-07-03,0.0057,0.0057,0.0057,0.0057
1042,2023-06-30,0.0057,0.0057,0.0057,0.0057
1041,2023-06-29,0.0058,0.0058,0.0058,0.0058
1040,2023-06-28,0.0057,0.0088,0.0057,0.0088
1039,2023-06-27,0.0058,0.01,0.0057,0.0058
1038,2023-06-26,0.006,0.006,0.006,0.006
1037,2023-06-23,0.0058,0.0199,0.0058,0.0059
1036,2023-06-22,0.0057,0.0057,0.0057,0.0057
1035,2023-06-21,0.0057,0.0057,0.0057,0.0057
1034,2023-06-20,0.0057,0.0057,0.0057,0.0057
1033,2023-06-16,0.0057,0.0057,0.0057,0.0057
1032,2023-06-15,0.0038,0.0038,0.0038,0.0038
1031,2023-06-14,0.009,0.009,0.0013,0.0038
1030,2023-06-13,0.009,0.009,0.009,0.009
1029,2023-06-12,0.0242,0.0242,0.009,0.009
1028,2023-06-09,0.0396,0.0396,0.0396,0.0396
1027,2023-06-08,0.0397,0.0397,0.0339,0.0396
1026,2023-06-07,0.02,0.046,0.0145,0.02
1025,2023-06-06,0.009,0.009,0.009,0.009
1024,2023-06-05,0.009,0.009,0.009,0.009
1023,2023-06-02,0.02,0.02,0.009,0.009
1022,2023-06-01,0.02,0.02,0.02,0.02
1021,2023-05-31,0.01,0.01,0.01,0.01
1020,2023-05-30,0.01,0.01,0.01,0.01
1019,2023-05-26,0.017,0.017,0.01,0.01
1018,2023-05-25,0.009,0.017,0.009,0.017
1017,2023-05-24,0.009,0.009,0.009,0.009
1016,2023-05-23,0.009,0.009,0.009,0.009
1015,2023-05-22,0.009,0.009,0.009,0.009
1014,2023-05-19,0.01,0.0351,0.009,0.009
1013,2023-05-18,0.02,0.02,0.02,0.02
1012,2023-05-17,0.02,0.02,0.02,0.02
1011,2023-05-16,0.0175,0.0175,0.0175,0.0175
1010,2023-05-15,0.0175,0.0175,0.0175,0.0175
1009,2023-05-12,0.0175,0.0175,0.0175,0.0175
1008,2023-05-11,0.0422,0.0487,0.0175,0.0175
1007,2023-05-10,0.0175,0.0175,0.0175,0.0175
1006,2023-05-09,0.0175,0.0175,0.0175,0.0175
1005,2023-05-08,0.0175,0.0175,0.0175,0.0175
1004,2023-05-05,0.0175,0.0175,0.0175,0.0175
1003,2023-05-04,0.019,0.03,0.0158,0.0275
1002,2023-05-03,0.033,0.033,0.033,0.033
1001,2023-05-02,0.0351,0.0351,0.033,0.033
1000,2023-05-01,0.0371,0.0371,0.0371,0.0371
999,2023-04-28,0.0371,0.0371,0.0371,0.0371
998,2023-04-27,0.0371,0.0371,0.0371,0.0371
997,2023-04-26,0.0371,0.0371,0.0371,0.0371
996,2023-04-25,0.0371,0.0371,0.0371,0.0371
995,2023-04-24,0.0371,0.0371,0.0371,0.0371
994,2023-04-21,0.0376,0.038,0.0371,0.0371
993,2023-04-20,0.0376,0.0376,0.0376,0.0376
992,2023-04-19,0.0376,0.0376,0.0376,0.0376
991,2023-04-18,0.0376,0.0376,0.0376,0.0376
990,2023-04-17,0.04,0.041,0.0371,0.0376
989,2023-04-14,0.0451,0.0451,0.04,0.04
988,2023-04-13,0.0526,0.0526,0.0526,0.0526
987,2023-04-12,0.0526,0.0526,0.0526,0.0526
986,2023-04-11,0.048,0.0881,0.048,0.0526
985,2023-04-10,0.0897,0.0897,0.0372,0.0462
984,2023-04-06,0.0893,0.0893,0.0372,0.0406
983,2023-04-05,0.0888,0.0889,0.0375,0.05
982,2023-04-04,0.0405,0.0595,0.0372,0.0579
981,2023-04-03,0.0561,0.0561,0.0372,0.04
980,2023-03-31,0.0371,0.0371,0.0371,0.0371
979,2023-03-30,0.0401,0.0401,0.0401,0.0401
978,2023-03-29,0.0401,0.0401,0.0401,0.0401
977,2023-03-28,0.0371,0.0371,0.0371,0.0371
976,2023-03-27,0.0605,0.0605,0.0371,0.0371
975,2023-03-24,0.0399,0.0488,0.0399,0.0488
974,2023-03-23,0.0371,0.0371,0.0371,0.0371
973,2023-03-22,0.0604,0.0897,0.043,0.043
972,2023-03-21,0.0828,0.09,0.0372,0.0876
971,2023-03-20,0.088,0.088,0.088,0.088
970,2023-03-17,0.088,0.088,0.088,0.088
969,2023-03-16,0.088,0.088,0.088,0.088
968,2023-03-15,0.082,0.09,0.078,0.09
967,2023-03-14,0.0415,0.0812,0.0415,0.0812
966,2023-03-13,0.06,0.09,0.0373,0.0415
965,2023-03-10,0.05,0.05,0.0401,0.0401
964,2023-03-09,0.089,0.089,0.041,0.041
963,2023-03-08,0.023,0.0893,0.0212,0.0692
962,2023-03-07,0.07,0.09,0.0219,0.088
961,2023-03-06,0.0612,0.0612,0.0612,0.0612
960,2023-03-03,0.0612,0.0612,0.0612,0.0612
959,2023-03-02,0.035,0.0664,0.035,0.0612
958,2023-03-01,0.0315,0.0772,0.03,0.0772
957,2023-02-28,0.09,0.09,0.09,0.09
956,2023-02-27,0.08,0.09,0.08,0.09
955,2023-02-24,0.0838,0.087,0.0524,0.087
954,2023-02-23,0.0302,0.0888,0.021,0.0832
953,2023-02-22,0.0898,0.0898,0.0897,0.0897
952,2023-02-21,0.0675,0.09,0.0564,0.0899
951,2023-02-17,0.0575,0.0575,0.0575,0.0575
950,2023-02-16,0.0575,0.0575,0.0575,0.0575
949,2023-02-15,0.0575,0.0575,0.0575,0.0575
948,2023-02-14,0.0575,0.0575,0.0575,0.0575
947,2023-02-13,0.0799,0.0799,0.056,0.0575
946,2023-02-10,0.0227,0.0384,0.0227,0.0384
945,2023-02-09,0.0211,0.0211,0.0211,0.0211
944,2023-02-08,0.0209,0.0209,0.0209,0.0209
943,2023-02-07,0.0209,0.0209,0.0209,0.0209
942,2023-02-06,0.0209,0.0209,0.0209,0.0209
941,2023-02-03,0.04,0.04,0.04,0.04
940,2023-02-02,0.04,0.04,0.04,0.04
939,2023-02-01,0.04,0.04,0.04,0.04
938,2023-01-31,0.04,0.04,0.04,0.04
937,2023-01-30,0.04,0.04,0.04,0.04
936,2023-01-27,0.04,0.04,0.04,0.04
935,2023-01-26,0.04,0.04,0.04,0.04
934,2023-01-25,0.04,0.04,0.04,0.04
933,2023-01-24,0.04,0.04,0.04,0.04
932,2023-01-23,0.04,0.04,0.04,0.04
931,2023-01-20,0.0791,0.08,0.04,0.04
930,2023-01-19,0.03,0.03,0.03,0.03
929,2023-01-18,0.03,0.03,0.03,0.03
928,2023-01-17,0.03,0.03,0.03,0.03
927,2023-01-13,0.0791,0.0791,0.0791,0.0791
926,2023-01-12,0.06,0.06,0.06,0.06
925,2023-01-11,0.0875,0.0875,0.05,0.0797
924,2023-01-10,0.05,0.05,0.05,0.05
923,2023-01-09,0.0391,0.0825,0.0391,0.05
922,2023-01-06,0.0106,0.0106,0.0106,0.0106
921,2023-01-05,0.0106,0.0106,0.0106,0.0106
920,2023-01-04,0.0106,0.0106,0.0106,0.0106
919,2023-01-03,0.0246,0.0246,0.0106,0.0106
918,2022-12-30,0.025,0.025,0.025,0.025
917,2022-12-29,0.0107,0.025,0.0107,0.025
916,2022-12-28,0.02,0.02,0.02,0.02
915,2022-12-27,0.02,0.02,0.02,0.02
914,2022-12-23,0.02,0.02,0.02,0.02
913,2022-12-22,0.02,0.02,0.02,0.02
912,2022-12-21,0.02,0.02,0.02,0.02
911,2022-12-20,0.02,0.02,0.02,0.02
910,2022-12-19,0.02,0.02,0.02,0.02
909,2022-12-16,0.02,0.02,0.02,0.02
