Date,Open,High,Low,Close
1987-05-19,48.0,49.5,48.0,48.0
1987-05-20,52.5,53.25,52.5,52.5
1987-05-21,53.25,54.75,53.25,53.25
1987-05-22,57.0,58.5,57.0,57.0
1987-05-26,61.5,63.0,61.5,61.5
1987-05-27,62.25,63.0,62.25,62.25
1987-05-28,62.25,63.0,62.25,62.25
1987-05-29,62.25,63.0,62.25,62.25
1987-06-01,56.25,56.25,54.75,54.75
1987-06-02,54.75,59.25,54.75,59.25
1987-06-03,59.25,59.25,56.25,56.25
1987-06-04,56.25,57.0,53.25,54.0
1987-06-05,54.0,56.25,53.25,56.25
1987-06-08,56.25,57.75,54.75,57.0
1987-06-09,57.75,59.25,57.75,59.25
1987-06-10,59.25,59.25,57.0,57.75
1987-06-11,57.75,57.75,56.25,57.0
1987-06-12,57.0,57.75,56.25,57.0
1987-06-15,57.0,57.75,56.25,56.25
1987-06-16,56.25,57.0,56.25,56.25
1987-06-17,56.25,57.75,56.25,56.25
1987-06-18,56.25,57.0,56.25,56.25
1987-06-19,56.25,57.75,56.25,56.25
1987-06-22,56.25,57.0,54.75,54.75
1987-06-23,54.75,56.25,53.25,54.0
1987-06-24,54.0,54.75,54.0,54.0
1987-06-25,54.0,54.75,54.0,54.0
1987-06-26,54.0,54.75,54.0,54.75
1987-06-29,54.75,54.75,54.0,54.0
1987-06-30,54.0,54.75,54.0,54.0
1987-07-01,54.0,54.75,54.0,54.0
1987-07-02,54.0,54.75,54.0,54.75
1987-07-06,54.75,54.75,54.0,54.75
1987-07-07,54.75,54.75,54.0,54.0
1987-07-08,54.0,54.75,53.25,53.25
1987-07-09,53.25,53.25,52.5,52.5
1987-07-10,52.5,52.5,50.25,50.25
1987-07-13,50.25,51.75,50.25,50.25
1987-07-14,50.25,53.25,50.25,53.25
1987-07-15,53.25,54.75,52.5,53.25
1987-07-16,54.0,54.75,54.0,54.75
1987-07-17,54.75,55.5,54.75,55.5
1987-07-20,55.5,55.5,54.0,55.5
1987-07-21,55.5,55.5,54.0,54.0
1987-07-22,54.0,54.75,54.0,54.0
1987-07-23,54.0,54.75,53.25,53.25
1987-07-24,53.25,53.25,51.0,52.5
1987-07-27,51.75,51.75,51.0,51.0
1987-07-28,51.0,51.75,50.25,50.25
1987-07-29,50.25,51.75,50.25,51.75
1987-07-30,51.75,53.25,51.0,51.75
1987-07-31,51.75,53.25,51.75,52.875
1987-08-03,52.875,54.0,52.5,54.0
1987-08-04,54.0,54.0,52.5,52.5
1987-08-05,52.5,54.0,52.5,54.0
1987-08-06,54.0,54.0,52.5,54.0
1987-08-07,54.0,55.5,52.5,54.0
1987-08-10,54.75,57.75,54.75,56.25
1987-08-11,56.25,57.75,56.25,57.0
1987-08-12,57.0,57.0,54.0,55.5
1987-08-13,55.5,55.5,54.0,54.0
1987-08-14,54.0,55.5,54.0,54.0
1987-08-17,54.0,54.0,54.0,54.0
1987-08-18,54.75,57.0,54.75,56.25
1987-08-19,56.25,58.5,54.75,58.5
1987-08-20,58.5,59.25,57.75,57.75
1987-08-21,58.5,60.0,58.5,58.5
1987-08-24,58.5,60.0,58.5,60.0
1987-08-25,60.0,60.0,58.5,60.0
1987-08-26,60.0,60.0,56.25,57.375
1987-08-27,57.375,57.75,56.25,57.0
1987-08-28,57.0,57.75,55.5,57.75
1987-08-31,57.75,58.125,56.25,58.125
1987-09-01,58.125,58.5,56.25,57.0
1987-09-02,57.0,57.75,56.25,56.25
1987-09-03,56.25,57.75,56.25,57.0
1987-09-04,57.0,57.0,55.5,55.5
1987-09-08,55.5,56.25,52.5,53.25
1987-09-09,53.25,54.75,53.25,53.25
1987-09-10,53.25,54.0,53.25,53.25
1987-09-11,53.25,55.5,53.25,54.75
1987-09-14,54.75,54.75,53.25,53.25
1987-09-15,53.25,54.75,52.5,54.75
1987-09-16,54.75,54.75,53.25,53.25
1987-09-17,53.25,54.75,53.25,54.75
1987-09-18,54.75,54.75,53.25,54.75
1987-09-21,54.75,55.5,54.0,54.75
1987-09-22,54.75,54.75,54.0,54.0
1987-09-23,54.0,55.5,54.0,54.75
1987-09-24,54.75,55.5,54.375,55.125
1987-09-25,55.125,55.5,53.25,53.25
1987-09-28,53.625,57.0,53.625,57.0
1987-09-29,57.0,59.25,55.5,57.0
1987-09-30,57.0,58.5,57.0,58.5
1987-10-01,58.5,59.25,57.75,58.5
1987-10-02,58.5,64.5,58.5,60.75
1987-10-05,60.75,62.25,60.75,62.25
1987-10-06,62.25,62.25,60.0,60.75
1987-10-07,60.75,60.75,58.5,60.75
1987-10-08,60.75,63.0,60.0,61.5
1987-10-09,61.5,63.75,60.75,60.75
1987-10-12,60.75,62.25,57.75,57.75
1987-10-13,57.75,59.25,57.0,58.5
1987-10-14,57.75,57.75,57.0,57.0
1987-10-15,57.0,57.75,56.25,56.25
1987-10-16,56.25,57.75,55.5,55.5
1987-10-19,55.5,56.25,43.5,44.25
1987-10-20,43.5,43.5,34.5,35.25
1987-10-21,35.25,47.25,35.25,45.75
1987-10-22,45.75,48.75,45.0,48.0
1987-10-23,48.0,48.75,42.0,42.0
1987-10-26,42.0,43.5,33.75,40.5
1987-10-27,39.75,39.75,34.5,36.0
1987-10-28,36.0,39.75,36.0,37.5
1987-10-29,37.875,40.5,37.875,40.5
1987-10-30,40.5,47.25,40.5,46.5
1987-11-02,46.5,48.0,45.0,48.0
1987-11-03,46.5,46.5,42.75,42.75
1987-11-04,42.75,43.5,41.25,43.5
1987-11-05,43.5,44.25,42.0,42.75
1987-11-06,42.75,43.5,42.0,42.75
1987-11-09,42.75,44.25,42.0,43.5
1987-11-10,42.0,42.0,40.5,42.0
1987-11-11,42.0,42.75,41.25,41.25
1987-11-12,41.25,42.75,41.25,41.25
1987-11-13,41.25,42.75,41.25,41.25
1987-11-16,41.25,42.75,41.25,42.0
1987-11-17,42.0,42.75,41.25,42.75
1987-11-18,42.75,44.25,42.75,44.25
1987-11-19,44.25,44.25,42.0,44.25
1987-11-20,44.25,44.25,42.0,44.25
1987-11-23,44.25,44.25,42.75,42.75
1987-11-24,42.75,45.0,42.75,44.25
1987-11-25,44.25,45.75,44.25,44.25
1987-11-27,44.25,45.0,44.25,44.25
1987-11-30,44.25,45.0,44.25,44.25
1987-12-01,44.25,44.25,42.75,42.75
1987-12-02,42.75,44.25,42.75,42.75
1987-12-03,42.75,44.25,42.375,42.75
1987-12-04,42.75,44.25,42.0,42.0
1987-12-07,42.0,43.5,40.5,41.25
1987-12-08,41.25,41.25,40.5,41.25
1987-12-09,41.25,42.0,41.25,41.25
1987-12-10,41.25,42.75,41.25,41.25
1987-12-11,41.25,43.5,41.25,41.25
1987-12-14,41.25,42.75,41.25,42.75
1987-12-15,42.75,44.25,41.25,44.25
1987-12-16,44.25,44.25,42.75,44.25
1987-12-17,44.25,45.0,42.75,44.25
1987-12-18,44.25,48.75,44.25,48.0
1987-12-21,48.0,49.5,48.0,49.5
1987-12-22,49.5,49.5,48.0,48.0
1987-12-23,48.0,48.0,48.0,48.0
1987-12-24,48.0,48.0,48.0,48.0
1987-12-28,48.0,48.75,48.0,48.0
1987-12-29,48.0,49.5,48.0,48.0
1987-12-30,48.0,50.25,48.0,49.875
1987-12-31,49.875,50.25,48.0,50.25
1988-01-04,50.25,51.75,48.0,50.25
1988-01-05,50.25,51.75,50.25,51.0
1988-01-06,51.0,51.75,50.25,51.75
1988-01-07,51.75,51.75,50.25,50.25
1988-01-08,50.25,51.75,50.25,50.25
1988-01-11,50.25,51.75,49.125,51.0
1988-01-12,51.0,51.0,45.75,46.5
1988-01-13,46.5,47.25,45.0,47.25
1988-01-14,47.25,48.0,45.0,45.0
1988-01-15,45.75,47.25,45.75,45.75
1988-01-18,45.75,46.5,45.0,45.75
1988-01-19,45.75,46.5,45.75,46.5
1988-01-20,46.5,46.5,43.5,43.5
1988-01-21,43.5,45.75,43.125,43.5
1988-01-22,43.5,45.0,43.125,43.5
1988-01-25,43.5,44.25,43.5,43.5
1988-01-26,43.5,43.5,42.0,42.75
1988-01-27,42.75,43.5,42.0,43.125
1988-01-28,43.125,43.5,42.0,43.5
1988-01-29,43.5,44.25,42.75,43.5
1988-02-01,44.25,46.5,44.25,45.0
1988-02-02,45.0,46.5,45.0,46.5
1988-02-03,46.5,46.5,45.0,45.0
1988-02-04,45.0,46.5,44.25,46.5
1988-02-05,46.5,46.5,46.5,46.5
1988-02-08,46.5,46.5,45.0,45.0
1988-02-09,45.0,45.75,43.5,44.25
1988-02-10,44.25,45.0,43.875,44.25
1988-02-11,44.25,46.5,44.25,46.5
1988-02-12,46.5,47.25,46.5,47.25
1988-02-16,47.25,47.25,46.125,47.25
1988-02-17,47.25,47.25,45.75,45.75
1988-02-18,45.75,47.25,45.75,45.75
1988-02-19,45.75,46.5,45.75,45.75
1988-02-22,45.75,47.25,45.75,46.5
1988-02-23,46.5,47.25,45.75,45.75
1988-02-24,45.75,48.75,45.75,47.25
1988-02-25,47.25,48.0,46.5,46.5
1988-02-26,46.5,46.5,45.0,45.0
1988-02-29,45.0,47.25,45.0,47.25
1988-03-01,47.25,49.5,47.25,48.0
1988-03-02,48.0,49.5,48.0,48.0
1988-03-03,48.0,49.5,48.0,49.5
1988-03-04,49.5,49.5,48.0,49.5
1988-03-07,49.5,49.5,48.0,49.5
