,Date,Open,High,Low,Close
4033,2025-10-20,5.35,5.44,5.34,5.44
4032,2025-10-17,5.13,5.27,5.13,5.26
4031,2025-10-16,5.11,5.235,5.11,5.21
4030,2025-10-15,5.06,5.15,5.035,5.13
4029,2025-10-14,4.94,5.085,4.94,5.07
4028,2025-10-13,5.16,5.17,5.095,5.1
4027,2025-10-10,5.31,5.31,5.08,5.08
4026,2025-10-09,5.29,5.33,5.26,5.31
4025,2025-10-08,5.33,5.33,5.245,5.25
4024,2025-10-07,5.33,5.3551,5.255,5.26
4023,2025-10-06,5.44,5.44,5.365,5.39
4022,2025-10-03,5.44,5.49,5.385,5.49
4021,2025-10-02,5.48,5.48,5.375,5.44
4020,2025-10-01,5.61,5.625,5.46,5.48
4019,2025-09-30,5.62,5.64,5.535,5.59
4018,2025-09-29,5.57,5.61,5.55,5.56
4017,2025-09-26,5.4,5.495,5.395,5.49
4016,2025-09-25,5.42,5.44,5.33,5.34
4015,2025-09-24,5.55,5.55,5.46,5.48
4014,2025-09-23,5.43,5.59,5.43,5.56
4013,2025-09-22,5.39,5.445,5.36,5.44
4012,2025-09-19,5.53,5.545,5.5,5.51
4011,2025-09-18,5.57,5.57,5.52,5.52
4010,2025-09-17,5.48,5.65,5.48,5.56
4009,2025-09-16,5.48,5.5,5.405,5.43
4008,2025-09-15,5.42,5.49,5.41,5.44
4007,2025-09-12,5.4,5.4395,5.36,5.37
4006,2025-09-11,5.36,5.5,5.36,5.45
4005,2025-09-10,5.36,5.44,5.35,5.36
4004,2025-09-09,5.36,5.4,5.33,5.34
4003,2025-09-08,5.44,5.44,5.3,5.37
4002,2025-09-05,5.42,5.49,5.36,5.44
4001,2025-09-04,5.19,5.26,5.17,5.24
4000,2025-09-03,5.22,5.27,5.175,5.18
3999,2025-09-02,5.16,5.26,5.145,5.22
3998,2025-08-29,5.25,5.3,5.23,5.3
3997,2025-08-28,5.17,5.33,5.17,5.27
3996,2025-08-27,5.09,5.185,5.04,5.15
3995,2025-08-26,5.1,5.15,5.08,5.12
3994,2025-08-25,5.03,5.125,5.025,5.1
3993,2025-08-22,4.88,5.05,4.88,5.02
3992,2025-08-21,4.84,4.88,4.82,4.84
3991,2025-08-20,4.77,4.86,4.76,4.84
3990,2025-08-19,4.89,4.905,4.745,4.77
3989,2025-08-18,5.04,5.07,5.015,5.04
3988,2025-08-15,5.02,5.03,4.965,4.99
3987,2025-08-14,4.96,5.07,4.9408,4.99
3986,2025-08-13,5.05,5.055,4.97,4.99
3985,2025-08-12,5.04,5.0888,5.03,5.05
3984,2025-08-11,4.94,4.97,4.92,4.93
3983,2025-08-08,4.96,4.99,4.93,4.96
3982,2025-08-07,4.86,4.97,4.86,4.95
3981,2025-08-06,4.85,4.89,4.82,4.87
3980,2025-08-05,4.8,4.8791,4.8,4.8
