Date,Open,High,Low,Close
2006-11-02,1920.0,1920.0,1920.0,1920.0
2006-11-03,1920.0,1920.0,1920.0,1920.0
2006-11-06,1920.0,1920.0,1920.0,1920.0
2006-11-07,1920.0,1920.0,1920.0,1920.0
2006-11-08,1920.0,1920.0,1920.0,1920.0
2006-11-09,1920.0,1920.0,1920.0,1920.0
2006-11-10,1920.0,1920.0,1920.0,1920.0
2006-11-13,1920.0,1920.0,1920.0,1920.0
2006-11-14,1920.0,1920.0,1920.0,1920.0
2006-11-15,1920.0,1920.0,1920.0,1920.0
2006-11-16,1920.0,1920.0,1920.0,1920.0
2006-11-17,1920.0,1920.0,1920.0,1920.0
2006-11-20,1920.0,1920.0,1920.0,1920.0
2006-11-21,1920.0,1920.0,1920.0,1920.0
2006-11-22,1920.0,1920.0,1920.0,1920.0
2006-11-24,1920.0,1920.0,1920.0,1920.0
2006-11-27,1920.0,1920.0,1920.0,1920.0
2006-11-28,1920.0,1920.0,1920.0,1920.0
2006-11-29,1920.0,1920.0,1920.0,1920.0
2006-11-30,1920.0,1920.0,1920.0,1920.0
2006-12-01,1920.0,1920.0,1920.0,1920.0
2006-12-04,1920.0,1920.0,1920.0,1920.0
2006-12-05,1920.0,1920.0,1920.0,1920.0
2006-12-06,3060.0,3060.0,3060.0,3060.0
2006-12-07,3060.0,3060.0,3060.0,3060.0
2006-12-08,3060.0,3060.0,3060.0,3060.0
2006-12-11,3060.0,3060.0,3060.0,3060.0
2006-12-12,3060.0,3060.0,3060.0,3060.0
2006-12-13,3060.0,3060.0,3060.0,3060.0
2006-12-14,3060.0,3060.0,3060.0,3060.0
2006-12-15,3060.0,3060.0,3060.0,3060.0
2006-12-18,3060.0,3060.0,3060.0,3060.0
2006-12-19,3060.0,3060.0,3060.0,3060.0
2006-12-20,3060.0,3060.0,3060.0,3060.0
2006-12-21,3060.0,3060.0,3060.0,3060.0
2006-12-22,3060.0,3060.0,3060.0,3060.0
2006-12-26,3060.0,3060.0,3060.0,3060.0
2006-12-27,3060.0,3060.0,3060.0,3060.0
2006-12-28,3060.0,3060.0,3060.0,3060.0
2006-12-29,3060.0,3060.0,3060.0,3060.0
2007-01-03,3060.0,3060.0,3060.0,3060.0
2007-01-04,12000.0,12000.0,12000.0,12000.0
2007-01-05,13500.0,15000.0,13500.0,15000.0
2007-01-08,15000.0,15000.0,15000.0,15000.0
2007-01-09,15000.0,15000.0,15000.0,15000.0
2007-01-10,10500.0,10620.0,9000.0,9000.0
2007-01-11,9000.0,9000.0,9000.0,9000.0
2007-01-12,9000.0,9000.0,9000.0,9000.0
2007-01-16,9000.0,9000.0,9000.0,9000.0
2007-01-17,9600.0,9600.0,9000.0,9000.0
2007-01-18,1620.0,1620.0,1620.0,1620.0
2007-01-19,9600.0,9600.0,9000.0,9000.0
2007-01-22,9000.0,9000.0,9000.0,9000.0
2007-01-23,1860.0,3060.0,1440.0,1440.0
2007-01-24,1500.0,1680.0,960.0,960.0
2007-01-25,1800.0,1800.0,1200.0,1200.0
2007-01-26,1200.0,1200.0,1200.0,1200.0
2007-01-29,1740.0,1740.0,1740.0,1740.0
2007-01-30,1800.0,1800.0,1740.0,1740.0
2007-01-31,1740.0,1740.0,1080.0,1080.0
2007-02-01,1080.0,1500.0,900.0,900.0
2007-02-02,900.0,900.0,900.0,900.0
2007-02-05,720.0,720.0,720.0,720.0
2007-02-06,720.0,720.0,720.0,720.0
2007-02-07,720.0,720.0,720.0,720.0
2007-02-08,720.0,720.0,720.0,720.0
2007-02-09,720.0,720.0,720.0,720.0
2007-02-12,720.0,720.0,600.0,600.0
2007-02-13,600.0,600.0,600.0,600.0
2007-02-14,600.0,600.0,600.0,600.0
2007-02-15,1500.0,1500.0,1500.0,1500.0
