Date,Open,High,Low,Close
2014-01-17,3780.0,4016.25,3701.25,3858.75
2014-01-21,4000.5,4299.75,4000.5,4173.75
2014-01-22,4331.25,4331.25,3937.5,4173.75
2014-01-23,4016.25,4173.75,3732.75,3732.75
2014-01-24,3756.375,4173.75,3740.625,4000.5
2014-01-27,4095.0,4252.5,4016.25,4095.0
2014-01-28,4095.0,4095.0,3858.75,3937.5
2014-01-29,4158.0,4158.0,3890.25,4095.0
2014-01-30,4095.0,4142.25,3843.0,3843.0
2014-01-31,3858.75,4331.25,3780.0,3858.75
2014-02-03,4016.25,4016.25,3559.5,3701.25
2014-02-04,3622.5,3780.0,3622.5,3780.0
2014-02-05,3780.0,3937.5,3606.75,3937.5
2014-02-06,3937.5,4803.75,3622.5,4630.5
2014-02-07,4725.0,5355.0,4725.0,5008.5
2014-02-10,5118.75,5118.75,4095.0,4725.0
2014-02-11,5040.0,5040.0,4646.25,4693.5
2014-02-12,5040.0,5040.0,4347.0,4725.0
2014-02-13,4725.0,4803.75,4488.75,4725.0
2014-02-14,4725.0,5496.75,4410.0,4488.75
2014-02-18,5118.75,5118.75,4488.75,4725.0
2014-02-19,4740.75,5355.0,4740.75,5197.5
2014-02-20,5339.25,6536.25,5276.25,6000.75
2014-02-21,6142.5,8489.25,6063.75,8174.25
2014-02-24,9757.125,12946.5,8977.5,12048.75
2014-02-25,11576.25,11576.25,9245.25,9387.0
2014-02-26,10143.0,10599.75,9418.5,10080.0
2014-02-27,10473.75,10946.25,10237.5,10237.5
2014-02-28,10269.0,10269.0,9213.75,9450.0
2014-03-03,9229.5,9261.0,5512.5,8363.25
2014-03-04,8741.25,8741.25,8111.25,8111.25
2014-03-05,8221.5,8694.0,8111.25,8505.0
2014-03-06,8662.5,9355.5,8599.5,9087.75
2014-03-07,9079.875,9087.75,8142.75,8505.0
2014-03-10,8505.0,8662.5,7953.75,8158.5
2014-03-11,8032.5,8158.5,7402.5,7638.75
2014-03-12,7638.75,7638.75,6788.25,7150.5
2014-03-13,7134.75,7449.75,6977.25,7087.5
2014-03-14,6977.25,7150.5,6961.5,6961.5
2014-03-17,7166.25,7465.5,6930.0,7008.75
2014-03-18,7103.25,7875.0,7087.5,7843.5
2014-03-19,7953.75,7953.75,6772.5,7008.75
2014-03-20,7024.5,7024.5,6378.75,6693.75
2014-03-21,6693.75,6693.75,5937.75,6126.75
2014-03-24,6221.25,6300.0,5244.75,5622.75
2014-03-25,5544.0,5622.75,5118.75,5418.0
2014-03-26,5150.25,5890.5,5134.5,5150.25
2014-03-27,5150.25,5370.75,4725.0,5197.5
2014-03-28,5512.5,5748.75,5040.0,5197.5
2014-03-31,5355.0,5355.0,4882.5,5024.25
2014-04-01,4890.375,5339.25,4835.25,5103.0
2014-04-02,5197.5,5339.25,4835.25,4961.25
2014-04-03,4914.0,5166.0,4851.0,4882.5
2014-04-04,5008.5,5040.0,4725.0,4725.0
2014-04-07,4740.75,4788.0,4221.0,4252.5
2014-04-08,4284.0,4347.0,4095.0,4095.0
2014-04-09,4173.75,4173.75,3937.5,3953.25
2014-04-10,3906.0,4047.75,3638.25,3953.25
2014-04-11,4000.5,4000.5,3528.0,3575.25
2014-04-14,3575.25,3890.25,3559.5,3638.25
2014-04-15,3748.5,3748.5,3543.75,3685.5
2014-04-16,4016.25,4016.25,3654.0,3858.75
2014-04-17,3890.25,4221.0,3858.75,4173.75
2014-04-21,4252.5,4394.25,3969.0,3984.75
2014-04-22,4016.25,4252.5,3984.75,4221.0
2014-04-23,4410.0,4473.0,4315.5,4410.0
2014-04-24,4693.5,5559.75,4583.25,5512.5
2014-04-25,5544.0,5544.0,4803.75,4882.5
2014-04-28,4961.25,4961.25,4331.25,4473.0
2014-04-29,4504.5,4567.5,4252.5,4410.0
2014-04-30,4488.75,4488.75,4252.5,4488.75
2014-05-01,4567.5,4567.5,4284.0,4410.0
2014-05-02,4410.0,4410.0,4268.25,4299.75
2014-05-05,4378.5,4378.5,4110.75,4158.0
2014-05-06,4205.25,4567.5,4189.5,4457.25
2014-05-07,4457.25,4473.0,4126.5,4126.5
2014-05-08,4142.25,4284.0,3858.75,4095.0
2014-05-09,3858.75,4173.75,3559.5,3921.75
2014-05-12,3921.75,3921.75,3591.0,3622.5
2014-05-13,3654.0,3764.25,3654.0,3717.0
2014-05-14,3827.25,3937.5,3780.0,3843.0
2014-05-15,3874.5,3874.5,3780.0,3827.25
2014-05-16,3843.0,3843.0,3701.25,3780.0
2014-05-19,3843.0,3906.0,3843.0,3843.0
2014-05-20,3780.0,3795.75,3622.5,3622.5
2014-05-21,3622.5,3701.25,3386.25,3386.25
2014-05-22,3386.25,3622.5,3386.25,3528.0
2014-05-23,3528.0,3638.25,3339.0,3528.0
2014-05-27,3543.75,3543.75,3370.5,3465.0
2014-05-28,3528.0,3622.5,3528.0,3622.5
2014-05-29,3701.25,3843.0,3622.5,3669.75
2014-05-30,3780.0,4095.0,3764.25,4095.0
2014-06-02,4095.0,4929.75,4016.25,4488.75
2014-06-03,4528.125,4567.5,4410.0,4410.0
2014-06-04,4410.0,4410.0,4189.5,4394.25
2014-06-05,4410.0,4677.75,4205.25,4567.5
