Date,Open,High,Low,Close
2000-11-21,1298.4375,1303.125,1190.625,1209.375
2000-11-22,1214.0625,1218.75,1190.625,1200.0
2000-11-24,1200.0,1218.75,1200.0,1200.0
2000-11-27,1218.75,1246.875,1200.0,1237.5
2000-11-28,1242.1875,1331.25,1237.5,1312.5
2000-11-29,1312.5,1340.625,1237.5,1312.5
2000-11-30,1312.5,2303.90625,1190.625,2240.625
2000-12-01,1800.0,1825.78125,1368.75,1443.75
2000-12-04,1453.125,1500.0,1387.5,1443.75
2000-12-05,1462.5,1650.0,1368.75,1556.25
2000-12-06,1575.0,1790.625,1546.875,1706.25
2000-12-07,1757.8125,1950.0,1687.5,1790.625
2000-12-08,1912.5,2118.75,1818.75,1828.125
2000-12-11,1865.625,2390.625,1650.0,2315.625
2000-12-12,2334.375,2437.5,2100.0,2231.25
2000-12-13,2268.75,2287.5,1800.0,1931.25
2000-12-14,1950.0,1968.75,1612.5,1687.5
2000-12-15,1640.625,2135.15625,1556.25,1968.75
2000-12-18,2100.0,2193.75,1800.0,1809.375
2000-12-19,1837.5,2100.0,1687.5,1828.125
2000-12-20,1809.375,1809.375,1378.125,1565.625
2000-12-21,1521.09375,1556.25,1387.5,1443.75
2000-12-22,1668.75,1800.0,1556.25,1790.625
2000-12-26,1790.625,1950.0,1696.875,1893.75
2000-12-27,1884.375,1950.0,1725.0,1734.375
2000-12-28,1720.3125,1762.5,1640.625,1762.5
2000-12-29,1781.25,2025.0,1762.5,1856.25
2001-01-02,1898.4375,1950.0,1706.25,1753.125
2001-01-03,1715.625,1950.0,1650.0,1828.125
2001-01-04,1774.21875,1912.5,1725.0,1725.0
2001-01-05,1800.0,1800.0,1593.75,1640.625
2001-01-08,1668.75,1809.375,1612.5,1640.625
2001-01-09,1638.28125,1687.5,1518.75,1556.25
2001-01-10,1575.0,1781.25,1575.0,1575.0
2001-01-11,1715.625,1818.75,1687.5,1743.75
2001-01-12,1762.5,1800.0,1650.0,1743.75
2001-01-16,1734.375,1800.0,1687.5,1734.375
2001-01-17,1743.75,1790.625,1678.125,1715.625
2001-01-18,1760.15625,1837.5,1706.25,1800.0
2001-01-19,1818.75,2203.125,1743.75,2203.125
2001-01-22,2165.625,2175.0,1950.0,2090.625
2001-01-23,2076.5625,2090.625,1903.125,1987.5
2001-01-24,2025.0,2081.25,1950.0,2015.625
2001-01-25,2067.1875,2081.25,1650.0,1715.625
2001-01-26,1678.125,1762.5,1528.125,1584.375
2001-01-29,1612.5,1856.25,1603.125,1800.0
2001-01-30,1870.3125,1931.25,1734.375,1800.0
2001-01-31,1785.9375,1837.5,1743.75,1781.25
2001-02-01,1800.0,2025.0,1797.65625,1992.1875
2001-02-02,1959.375,2175.0,1959.375,2100.0
2001-02-05,2146.875,2353.125,2146.875,2287.5
2001-02-06,2315.625,2362.5,2062.5,2146.875
2001-02-07,2306.25,2325.0,1875.0,1931.25
2001-02-08,1893.75,1912.5,1621.875,1668.75
2001-02-09,1671.09375,1678.125,1162.5,1218.75
