Date,Open,High,Low,Close
2011-06-21,1470.0,1470.0,1470.0,1470.0
2011-06-22,1470.0,1560.0,1470.0,1560.0
2011-06-23,1560.0,1560.0,1488.0,1488.0
2011-06-24,1488.0,1488.0,1488.0,1488.0
2011-06-27,1560.0,1560.0,1536.0,1536.0
2011-06-28,1560.0,1560.0,1560.0,1560.0
2011-06-29,1560.0,1560.0,1560.0,1560.0
2011-06-30,1560.0,1560.0,1560.0,1560.0
2011-07-01,1560.0,1560.0,1560.0,1560.0
2011-07-05,1554.0,1554.0,1554.0,1554.0
2011-07-06,1554.0,1554.0,1554.0,1554.0
2011-07-07,1554.0,1554.0,1554.0,1554.0
2011-07-08,1554.0,1554.0,1554.0,1554.0
2011-07-11,1554.0,1554.0,1554.0,1554.0
2011-07-12,1554.0,1554.0,1554.0,1554.0
2011-07-13,1554.0,1554.0,1554.0,1554.0
2011-07-14,1554.0,1554.0,1554.0,1554.0
2011-07-15,1560.0,1560.0,1560.0,1560.0
2011-07-18,1560.0,1560.0,1560.0,1560.0
2011-07-19,1560.0,1560.0,1560.0,1560.0
2011-07-20,1560.0,1560.0,1560.0,1560.0
2011-07-21,1560.0,1560.0,1560.0,1560.0
2011-07-22,1200.0,1500.0,1200.0,1500.0
2011-07-25,1500.0,1500.0,1500.0,1500.0
2011-07-26,1500.0,1500.0,1500.0,1500.0
2011-07-27,1500.0,1500.0,1500.0,1500.0
2011-07-28,1500.0,1500.0,1500.0,1500.0
2011-07-29,1500.0,1500.0,1500.0,1500.0
2011-08-01,1500.0,1500.0,1500.0,1500.0
2011-08-02,1500.0,1500.0,1500.0,1500.0
2011-08-03,1500.0,1500.0,1500.0,1500.0
2011-08-04,1500.0,1500.0,1500.0,1500.0
2011-08-05,1500.0,1500.0,1500.0,1500.0
2011-08-08,1500.0,1500.0,1500.0,1500.0
2011-08-09,1500.0,1500.0,1500.0,1500.0
2011-08-10,1260.0,1260.0,1260.0,1260.0
2011-08-11,1260.0,1260.0,1260.0,1260.0
2011-08-12,1260.0,1260.0,1260.0,1260.0
2011-08-15,1080.0,1080.0,1080.0,1080.0
2011-08-16,1080.0,1080.0,1080.0,1080.0
2011-08-17,1080.0,1080.0,1080.0,1080.0
2011-08-18,1080.0,1080.0,1080.0,1080.0
2011-08-19,1080.0,1080.0,1080.0,1080.0
2011-08-22,1080.0,1080.0,1080.0,1080.0
2011-08-23,1080.0,1080.0,1080.0,1080.0
2011-08-24,1200.0,1350.0,1200.0,1350.0
2011-08-25,1350.0,1350.0,1350.0,1350.0
2011-08-26,1350.0,1350.0,1350.0,1350.0
2011-08-29,1140.0,1230.0,1140.0,1230.0
2011-08-30,1260.0,1290.0,1260.0,1290.0
2011-08-31,1320.0,1344.0,1320.0,1344.0
2011-09-01,1344.0,1350.0,1344.0,1350.0
2011-09-02,1368.0,1410.0,1368.0,1410.0
2011-09-06,1410.0,1410.0,1410.0,1410.0
2011-09-07,1410.0,1410.0,1410.0,1410.0
2011-09-08,1440.0,1440.0,1440.0,1440.0
2011-09-09,1440.0,1440.0,1440.0,1440.0
2011-09-12,1440.0,1440.0,1440.0,1440.0
2011-09-13,1440.0,1440.0,1440.0,1440.0
2011-09-14,1440.0,1524.0,1440.0,1524.0
2011-09-15,1530.0,1548.0,1530.0,1548.0
2011-09-16,1548.0,1548.0,1548.0,1548.0
2011-09-19,1530.0,1530.0,1530.0,1530.0
2011-09-20,1530.0,1530.0,1530.0,1530.0
2011-09-21,1530.0,1530.0,1530.0,1530.0
2011-09-22,1548.0,1548.0,1548.0,1548.0
2011-09-23,1554.0,1554.0,1554.0,1554.0
2011-09-26,1554.0,1554.0,1500.0,1500.0
2011-09-27,1320.0,1548.0,1050.0,1548.0
2011-09-28,1548.0,1560.0,1548.0,1560.0
2011-09-29,1554.0,1554.0,1554.0,1554.0
2011-09-30,1554.0,1554.0,1554.0,1554.0
2011-10-03,1554.0,1554.0,1554.0,1554.0
2011-10-04,1560.0,1560.0,1560.0,1560.0
2011-10-05,1560.0,1590.0,1560.0,1590.0
2011-10-06,1614.0,1614.0,1614.0,1614.0
2011-10-07,1620.0,1620.0,1620.0,1620.0
2011-10-10,1620.0,1620.0,1620.0,1620.0
2011-10-11,1530.0,1542.0,1530.0,1542.0
2011-10-12,1620.0,1620.0,1620.0,1620.0
2011-10-13,1614.0,1632.0,1614.0,1632.0
2011-10-14,1638.0,1644.0,1638.0,1644.0
2011-10-17,1644.0,1644.0,1644.0,1644.0
2011-10-18,1620.0,1620.0,1620.0,1620.0
2011-10-19,1650.0,1650.0,1650.0,1650.0
2011-10-20,1650.0,1650.0,1650.0,1650.0
2011-10-21,1590.0,1590.0,1590.0,1590.0
2011-10-24,1680.0,1680.0,1680.0,1680.0
2011-10-25,1680.0,1680.0,1680.0,1680.0
2011-10-26,1680.0,1680.0,1680.0,1680.0
2011-10-27,1728.0,1740.0,1728.0,1740.0
2011-10-28,1770.0,1770.0,1770.0,1770.0
2011-10-31,1770.0,1770.0,1770.0,1770.0
2011-11-01,1800.0,1800.0,1800.0,1800.0
2011-11-02,1830.0,1860.0,1830.0,1860.0
2011-11-03,1800.0,1860.0,1800.0,1860.0
2011-11-04,1800.0,1800.0,1800.0,1800.0
2011-11-07,1800.0,1800.0,1800.0,1800.0
2011-11-08,1800.0,1800.0,1800.0,1800.0
2011-11-09,1860.0,1860.0,1860.0,1860.0
2011-11-10,1860.0,1860.0,1860.0,1860.0
2011-11-11,1860.0,1860.0,1860.0,1860.0
2011-11-14,1860.0,1860.0,1860.0,1860.0
2011-11-15,1860.0,1860.0,1860.0,1860.0
2011-11-16,1860.0,1860.0,1860.0,1860.0
2011-11-17,1800.0,1830.0,1770.0,1830.0
2011-11-18,1800.0,1800.0,1800.0,1800.0
2011-11-21,1800.0,1800.0,1650.0,1710.0
2011-11-22,1740.0,1740.0,1740.0,1740.0
2011-11-23,1770.0,1770.0,1770.0,1770.0
2011-11-25,1770.0,1770.0,1770.0,1770.0
2011-11-28,1770.0,1770.0,1770.0,1770.0
2011-11-29,1740.0,1740.0,1740.0,1740.0
2011-11-30,1740.0,1740.0,1740.0,1740.0
2011-12-01,1740.0,1740.0,1740.0,1740.0
2011-12-02,1740.0,1740.0,1740.0,1740.0
2011-12-05,1740.0,1740.0,1740.0,1740.0
2011-12-06,1740.0,1740.0,1740.0,1740.0
2011-12-07,1800.0,1800.0,1800.0,1800.0
2011-12-08,1770.0,1770.0,1770.0,1770.0
2011-12-09,1770.0,1770.0,1770.0,1770.0
2011-12-12,1800.0,1800.0,1800.0,1800.0
2011-12-13,1788.0,1788.0,1788.0,1788.0
2011-12-14,1788.0,1788.0,1788.0,1788.0
2011-12-15,1788.0,1788.0,1788.0,1788.0
2011-12-16,1788.0,1788.0,1788.0,1788.0
2011-12-19,1794.0,1794.0,1794.0,1794.0
2011-12-20,1764.0,1764.0,1764.0,1764.0
2011-12-21,1782.0,1782.0,1782.0,1782.0
2011-12-22,1764.0,1800.0,1764.0,1800.0
2011-12-23,1794.0,1794.0,1794.0,1794.0
2011-12-27,1800.0,1800.0,1800.0,1800.0
2011-12-28,1776.0,1800.0,1776.0,1800.0
2011-12-29,1830.0,1830.0,1830.0,1830.0
2011-12-30,1830.0,1830.0,1830.0,1830.0
2012-01-03,1860.0,1860.0,1860.0,1860.0
2012-01-04,1800.0,1890.0,1800.0,1890.0
2012-01-05,1890.0,1890.0,1890.0,1890.0
2012-01-06,1890.0,1890.0,1890.0,1890.0
2012-01-09,1860.0,1860.0,1860.0,1860.0
2012-01-10,1860.0,1860.0,1860.0,1860.0
2012-01-11,1800.0,1800.0,1800.0,1800.0
2012-01-12,1860.0,1860.0,1860.0,1860.0
2012-01-13,1860.0,1890.0,1800.0,1800.0
2012-01-17,1860.0,1860.0,1860.0,1860.0
2012-01-18,1860.0,1860.0,1860.0,1860.0
2012-01-19,1860.0,1860.0,1860.0,1860.0
2012-01-20,1860.0,1860.0,1860.0,1860.0
2012-01-23,1740.0,1740.0,1740.0,1740.0
2012-01-24,1860.0,1860.0,1860.0,1860.0
2012-01-25,1830.0,1830.0,1830.0,1830.0
2012-01-26,1830.0,1830.0,1830.0,1830.0
2012-01-27,1830.0,1830.0,1830.0,1830.0
2012-01-30,1800.0,1800.0,1800.0,1800.0
2012-01-31,1800.0,1800.0,1800.0,1800.0
2012-02-01,1650.0,1800.0,1650.0,1800.0
2012-02-02,1650.0,1800.0,1650.0,1800.0
2012-02-03,1800.0,1800.0,1794.0,1794.0
2012-02-06,1800.0,1800.0,1800.0,1800.0
2012-02-07,1800.0,1800.0,1800.0,1800.0
2012-02-08,1800.0,1800.0,1650.0,1650.0
2012-02-09,1650.0,1650.0,1650.0,1650.0
2012-02-10,1650.0,1650.0,1650.0,1650.0
2012-02-13,1650.0,1650.0,1650.0,1650.0
2012-02-14,1794.0,1794.0,1794.0,1794.0
2012-02-15,1650.0,1680.0,1650.0,1680.0
2012-02-16,1680.0,1710.0,1680.0,1710.0
2012-02-17,1650.0,1650.0,1650.0,1650.0
2012-02-21,1668.0,1710.0,1668.0,1698.0
2012-02-22,1698.0,1800.0,1698.0,1800.0
2012-02-23,1800.0,1800.0,1800.0,1800.0
2012-02-24,1794.0,1794.0,1764.0,1794.0
2012-02-27,1794.0,1830.0,1794.0,1830.0
2012-02-28,1854.0,1860.0,1710.0,1710.0
2012-02-29,1710.0,1710.0,1710.0,1710.0
2012-03-01,1740.0,1770.0,1740.0,1770.0
2012-03-02,1740.0,1830.0,1740.0,1830.0
2012-03-05,1830.0,1830.0,1740.0,1740.0
2012-03-06,1800.0,1800.0,1740.0,1746.0
2012-03-07,1680.0,1680.0,1680.0,1680.0
2012-03-08,1680.0,1704.0,1650.0,1650.0
2012-03-09,1698.0,1710.0,1698.0,1710.0
2012-03-12,1650.0,1680.0,1650.0,1680.0
2012-03-13,1680.0,1704.0,1680.0,1680.0
2012-03-14,1680.0,1680.0,1680.0,1680.0
2012-03-15,1680.0,1680.0,1680.0,1680.0
2012-03-16,1620.0,1620.0,1620.0,1620.0
2012-03-19,1620.0,1620.0,1620.0,1620.0
2012-03-20,1638.0,1638.0,1638.0,1638.0
2012-03-21,1644.0,1668.0,1644.0,1668.0
2012-03-22,1668.0,1668.0,1668.0,1668.0
2012-03-23,1668.0,1674.0,1530.0,1530.0
2012-03-26,1674.0,1674.0,1674.0,1674.0
2012-03-27,1674.0,1674.0,1674.0,1674.0
2012-03-28,1680.0,1680.0,1680.0,1680.0
2012-03-29,1680.0,1680.0,1680.0,1680.0
2012-03-30,1680.0,1680.0,1644.0,1644.0
2012-04-02,1644.0,1644.0,1644.0,1644.0
2012-04-03,1644.0,1644.0,1644.0,1644.0
2012-04-04,1644.0,1650.0,1638.0,1638.0
2012-04-05,1650.0,1680.0,1650.0,1680.0
2012-04-09,1650.0,1650.0,1650.0,1650.0
2012-04-10,1650.0,1650.0,1650.0,1650.0
2012-04-11,1680.0,1680.0,1650.0,1650.0
2012-04-12,1590.0,1680.0,1560.0,1560.0
2012-04-13,1680.0,1680.0,1680.0,1680.0
2012-04-16,1590.0,1590.0,1590.0,1590.0
2012-04-17,1590.0,1590.0,1500.0,1500.0
2012-04-18,1560.0,1560.0,1500.0,1500.0
2012-04-19,1380.0,1680.0,1350.0,1410.0
2012-04-20,1680.0,1680.0,1350.0,1680.0
2012-04-23,1650.0,1680.0,1350.0,1590.0
2012-04-24,1500.0,1590.0,1200.0,1350.0
2012-04-25,1500.0,1590.0,1350.0,1350.0
2012-04-26,1500.0,1500.0,1320.0,1320.0
2012-04-27,1320.0,1500.0,1320.0,1500.0
2012-04-30,1560.0,1560.0,1206.0,1206.0
2012-05-01,1464.0,1464.0,1200.0,1200.0
2012-05-02,1260.0,1320.0,1260.0,1320.0
2012-05-03,1290.0,1290.0,1260.0,1260.0
2012-05-04,1260.0,1530.0,1200.0,1200.0
2012-05-07,1050.0,1050.0,1050.0,1050.0
2012-05-08,1050.0,1200.0,720.0,720.0
2012-05-09,624.0,780.0,606.0,606.0
2012-05-10,768.0,960.0,768.0,960.0
2012-05-11,1170.0,1170.0,1170.0,1170.0
2012-05-14,1170.0,1170.0,1170.0,1170.0
2012-05-15,1176.0,1176.0,1176.0,1176.0
2012-05-16,1176.0,1176.0,1176.0,1176.0
2012-05-17,1176.0,1176.0,1176.0,1176.0
2012-05-18,1176.0,1176.0,1176.0,1176.0
2012-05-21,660.0,666.0,654.0,654.0
2012-05-22,666.0,1050.0,630.0,630.0
2012-05-23,630.0,630.0,606.0,606.0
2012-05-24,372.0,840.0,96.0,690.0
2012-05-25,690.0,810.0,630.0,630.0
2012-05-29,672.0,696.0,606.0,606.0
2012-05-30,606.0,606.0,600.0,600.0
2012-05-31,630.0,642.0,306.0,306.0
2012-06-01,624.0,624.0,606.0,606.0
2012-06-04,606.0,672.0,606.0,672.0
2012-06-05,672.0,672.0,672.0,672.0
2012-06-06,678.0,684.0,606.0,606.0
2012-06-07,672.0,672.0,672.0,672.0
2012-06-08,672.0,672.0,672.0,672.0
2012-06-11,642.0,690.0,606.0,690.0
2012-06-12,690.0,690.0,606.0,606.0
2012-06-13,330.0,780.0,330.0,606.0
2012-06-14,360.0,570.0,360.0,570.0
2012-06-15,510.0,510.0,510.0,510.0
2012-06-18,510.0,510.0,510.0,510.0
2012-06-19,420.0,420.0,390.0,390.0
2012-06-20,390.0,570.0,300.0,300.0
2012-06-21,408.0,480.0,408.0,480.0
2012-06-22,372.0,510.0,372.0,510.0
2012-06-25,510.0,702.0,510.0,612.0
2012-06-26,600.0,600.0,600.0,600.0
2012-06-27,594.0,594.0,594.0,594.0
2012-06-28,588.0,588.0,588.0,588.0
2012-06-29,570.0,570.0,408.0,408.0
2012-07-02,702.0,702.0,702.0,702.0
2012-07-03,702.0,792.0,702.0,792.0
2012-07-05,612.0,912.0,606.0,900.0
2012-07-06,606.0,780.0,606.0,780.0
2012-07-09,606.0,672.0,606.0,672.0
2012-07-10,780.0,780.0,606.0,720.0
2012-07-11,600.0,600.0,600.0,600.0
2012-07-12,600.0,600.0,600.0,600.0
2012-07-13,600.0,600.0,600.0,600.0
2012-07-16,720.0,720.0,594.0,630.0
2012-07-17,588.0,630.0,588.0,630.0
2012-07-18,606.0,606.0,606.0,606.0
2012-07-19,600.0,600.0,600.0,600.0
2012-07-20,606.0,606.0,606.0,606.0
2012-07-23,600.0,600.0,600.0,600.0
2012-07-24,468.0,468.0,426.0,426.0
2012-07-25,510.0,510.0,492.0,492.0
2012-07-26,570.0,570.0,570.0,570.0
2012-07-27,450.0,450.0,450.0,450.0
2012-07-30,450.0,528.0,450.0,528.0
2012-07-31,672.0,672.0,510.0,510.0
2012-08-01,672.0,672.0,36.0,666.0
2012-08-02,660.0,660.0,660.0,660.0
2012-08-03,606.0,606.0,606.0,606.0
2012-08-06,606.0,606.0,606.0,606.0
2012-08-07,450.0,450.0,450.0,450.0
2012-08-08,450.0,606.0,450.0,606.0
2012-08-09,450.0,630.0,450.0,630.0
2012-08-10,450.0,570.0,450.0,570.0
2012-08-13,456.0,570.0,450.0,450.0
2012-08-14,570.0,570.0,570.0,570.0
2012-08-15,570.0,570.0,570.0,570.0
2012-08-16,570.0,570.0,570.0,570.0
2012-08-17,570.0,570.0,570.0,570.0
2012-08-20,570.0,570.0,570.0,570.0
2012-08-21,72.0,564.0,72.0,564.0
2012-08-22,564.0,564.0,510.0,564.0
2012-08-23,564.0,564.0,564.0,564.0
2012-08-24,564.0,564.0,564.0,564.0
2012-08-27,360.0,360.0,360.0,360.0
2012-08-28,564.0,564.0,564.0,564.0
2012-08-29,306.0,306.0,306.0,306.0
2012-08-30,564.0,564.0,564.0,564.0
2012-08-31,564.0,564.0,564.0,564.0
2012-09-04,474.0,564.0,474.0,564.0
2012-09-05,570.0,570.0,570.0,570.0
2012-09-06,570.0,570.0,570.0,570.0
2012-09-07,480.0,570.0,480.0,570.0
2012-09-10,480.0,570.0,480.0,570.0
2012-09-11,570.0,570.0,570.0,570.0
2012-09-12,480.0,570.0,480.0,570.0
2012-09-13,480.0,564.0,474.0,480.0
2012-09-14,564.0,564.0,564.0,564.0
2012-09-17,480.0,552.0,480.0,510.0
2012-09-18,480.0,480.0,480.0,480.0
2012-09-19,480.0,480.0,480.0,480.0
2012-09-20,480.0,480.0,480.0,480.0
2012-09-21,480.0,510.0,480.0,510.0
2012-09-24,480.0,480.0,480.0,480.0
2012-09-25,420.0,480.0,420.0,480.0
2012-09-26,480.0,480.0,480.0,480.0
2012-09-27,480.0,480.0,480.0,480.0
2012-09-28,480.0,480.0,480.0,480.0
2012-10-01,480.0,480.0,480.0,480.0
2012-10-02,480.0,480.0,480.0,480.0
2012-10-03,480.0,480.0,480.0,480.0
2012-10-04,474.0,474.0,474.0,474.0
2012-10-05,474.0,474.0,474.0,474.0
2012-10-08,474.0,474.0,474.0,474.0
2012-10-09,450.0,450.0,402.0,450.0
2012-10-10,450.0,450.0,450.0,450.0
2012-10-11,450.0,450.0,450.0,450.0
2012-10-12,402.0,450.0,306.0,402.0
2012-10-15,450.0,450.0,402.0,450.0
2012-10-16,450.0,474.0,420.0,450.0
2012-10-17,432.0,432.0,396.0,432.0
2012-10-18,408.0,426.0,408.0,426.0
2012-10-19,426.0,426.0,426.0,426.0
2012-10-22,426.0,426.0,426.0,426.0
2012-10-23,420.0,420.0,420.0,420.0
2012-10-24,420.0,420.0,420.0,420.0
2012-10-25,420.0,426.0,420.0,426.0
2012-10-26,426.0,426.0,426.0,426.0
2012-10-31,426.0,570.0,426.0,570.0
2012-11-01,420.0,420.0,420.0,420.0
2012-11-02,420.0,420.0,420.0,420.0
2012-11-05,420.0,420.0,420.0,420.0
2012-11-06,420.0,420.0,420.0,420.0
2012-11-07,420.0,420.0,420.0,420.0
2012-11-08,420.0,420.0,420.0,420.0
2012-11-09,420.0,420.0,420.0,420.0
2012-11-12,420.0,420.0,420.0,420.0
2012-11-13,420.0,420.0,420.0,420.0
2012-11-14,420.0,420.0,420.0,420.0
2012-11-15,420.0,420.0,420.0,420.0
2012-11-16,420.0,420.0,420.0,420.0
2012-11-19,420.0,420.0,414.0,414.0
2012-11-20,414.0,414.0,414.0,414.0
2012-11-21,414.0,414.0,414.0,414.0
2012-11-23,414.0,414.0,414.0,414.0
2012-11-26,414.0,414.0,390.0,390.0
2012-11-27,390.0,390.0,390.0,390.0
2012-11-28,330.0,414.0,330.0,414.0
2012-11-29,366.0,414.0,330.0,330.0
2012-11-30,414.0,414.0,414.0,414.0
2012-12-03,420.0,420.0,420.0,420.0
2012-12-04,426.0,426.0,426.0,426.0
2012-12-05,390.0,390.0,390.0,390.0
2012-12-06,360.0,426.0,360.0,426.0
2012-12-07,426.0,426.0,426.0,426.0
2012-12-10,438.0,450.0,420.0,420.0
2012-12-11,450.0,450.0,450.0,450.0
2012-12-12,450.0,450.0,390.0,450.0
2012-12-13,420.0,420.0,420.0,420.0
2012-12-14,450.0,450.0,450.0,450.0
2012-12-17,450.0,450.0,450.0,450.0
2012-12-18,360.0,450.0,360.0,450.0
2012-12-19,450.0,450.0,450.0,450.0
2012-12-20,426.0,426.0,426.0,426.0
2012-12-21,360.0,432.0,360.0,432.0
2012-12-24,432.0,432.0,432.0,432.0
2012-12-26,432.0,432.0,432.0,432.0
2012-12-27,360.0,432.0,318.0,432.0
2012-12-28,432.0,432.0,432.0,432.0
2012-12-31,438.0,438.0,438.0,438.0
2013-01-02,438.0,438.0,438.0,438.0
2013-01-03,438.0,438.0,438.0,438.0
2013-01-04,438.0,438.0,438.0,438.0
2013-01-07,438.0,438.0,438.0,438.0
2013-01-08,420.0,420.0,420.0,420.0
2013-01-09,420.0,420.0,420.0,420.0
2013-01-10,420.0,420.0,420.0,420.0
2013-01-11,336.0,420.0,336.0,420.0
2013-01-14,438.0,438.0,438.0,438.0
2013-01-15,438.0,438.0,438.0,438.0
2013-01-16,438.0,438.0,438.0,438.0
2013-01-17,438.0,438.0,438.0,438.0
2013-01-18,438.0,438.0,438.0,438.0
2013-01-22,438.0,480.0,438.0,474.0
2013-01-23,474.0,474.0,462.0,462.0
2013-01-24,480.0,480.0,462.0,462.0
2013-01-25,450.0,462.0,450.0,462.0
2013-01-28,480.0,480.0,480.0,480.0
2013-01-29,480.0,480.0,480.0,480.0
2013-01-30,480.0,480.0,480.0,480.0
2013-01-31,426.0,480.0,390.0,480.0
2013-02-01,474.0,480.0,390.0,480.0
2013-02-04,390.0,480.0,390.0,480.0
2013-02-05,390.0,480.0,390.0,480.0
2013-02-06,480.0,480.0,480.0,480.0
2013-02-07,480.0,480.0,420.0,474.0
2013-02-08,474.0,474.0,474.0,474.0
2013-02-11,468.0,468.0,390.0,396.0
2013-02-12,396.0,432.0,390.0,414.0
2013-02-13,468.0,480.0,468.0,480.0
2013-02-14,480.0,480.0,480.0,480.0
2013-02-15,480.0,480.0,480.0,480.0
2013-02-19,360.0,384.0,360.0,384.0
2013-02-20,360.0,360.0,360.0,360.0
2013-02-21,360.0,468.0,360.0,360.0
2013-02-22,360.0,360.0,360.0,360.0
2013-02-25,360.0,360.0,360.0,360.0
2013-02-26,390.0,390.0,390.0,390.0
2013-02-27,384.0,384.0,384.0,384.0
2013-02-28,384.0,384.0,384.0,384.0
2013-03-01,360.0,384.0,360.0,384.0
2013-03-04,420.0,480.0,402.0,480.0
2013-03-05,462.0,462.0,462.0,462.0
2013-03-06,462.0,462.0,462.0,462.0
2013-03-07,456.0,456.0,390.0,390.0
2013-03-08,534.0,540.0,534.0,540.0
2013-03-11,480.0,480.0,480.0,480.0
2013-03-12,480.0,480.0,480.0,480.0
2013-03-13,480.0,480.0,480.0,480.0
2013-03-14,480.0,480.0,480.0,480.0
2013-03-15,396.0,522.0,396.0,522.0
2013-03-18,420.0,450.0,420.0,450.0
2013-03-19,462.0,480.0,462.0,480.0
2013-03-20,330.0,498.0,330.0,498.0
2013-03-21,498.0,498.0,498.0,498.0
2013-03-22,498.0,498.0,498.0,498.0
2013-03-25,486.0,540.0,486.0,540.0
2013-03-26,540.0,540.0,540.0,540.0
2013-03-27,360.0,360.0,360.0,360.0
2013-03-28,366.0,498.0,366.0,498.0
2013-04-01,498.0,498.0,498.0,498.0
2013-04-02,492.0,492.0,480.0,492.0
2013-04-03,492.0,492.0,492.0,492.0
2013-04-04,492.0,492.0,492.0,492.0
2013-04-05,498.0,498.0,498.0,498.0
2013-04-08,498.0,498.0,498.0,498.0
2013-04-09,450.0,450.0,450.0,450.0
2013-04-10,498.0,540.0,480.0,540.0
2013-04-11,528.0,534.0,528.0,534.0
2013-04-12,480.0,534.0,480.0,480.0
2013-04-15,480.0,480.0,480.0,480.0
2013-04-16,534.0,534.0,480.0,480.0
2013-04-17,534.0,534.0,534.0,534.0
2013-04-18,468.0,468.0,468.0,468.0
2013-04-19,534.0,534.0,480.0,480.0
2013-04-22,510.0,510.0,510.0,510.0
2013-04-23,504.0,504.0,504.0,504.0
2013-04-24,510.0,510.0,510.0,510.0
2013-04-25,528.0,528.0,420.0,420.0
2013-04-26,528.0,528.0,528.0,528.0
2013-04-29,528.0,528.0,528.0,528.0
